order,cell,label,active_tenants,gpus_per_job,active_gpus,dp,active_communicators,arbor_ms,nccl_ms,switchml_ms,atp_ms,arbor_over_switchml,nccl_over_switchml,atp_over_switchml,best_baseline,best_baseline_ms,best_baseline_over_arbor,arbor_reduction_vs_best_percent,arbor_reduction_vs_nccl_percent,arbor_reduction_vs_switchml_percent,arbor_reduction_vs_atp_percent
0,u1-dp16-j1,U1/J1,1,2048,2048,16,128,358.79132,592.643418,477.715925,1935.962388,0.751055807905085,1.2405770605198057,4.052538939328849,switchml,477.715925,1.3314589801113361,24.894419209491506,39.45915720943686,24.894419209491506,81.46703044315548
1,u4-dp4-j1,U4/J1,1,512,512,4,128,350.543745,486.683765,481.079625,487.98626,0.7286605517745632,1.0116490903143112,1.0143565319358516,switchml,481.079625,1.3723811417602103,27.133944822543672,27.972993921422464,27.133944822543672,28.165242808270875
2,u4-dp4-j4,U4/J4,4,512,2048,4,512,376.935169,597.853857,481.960309,745.200773,0.7820875743525179,1.240462846910491,1.5461870180683281,switchml,481.960309,1.2786291878219516,21.791242564748217,36.951954965810316,21.791242564748217,49.41830676281384
3,u8-dp2-j2,U8/J2,2,256,512,2,256,349.959829,440.076729,480.659914,406.301119,0.7280819947885232,0.9155677770957201,0.8452985305531429,atp,406.301119,1.1609935922102648,13.866880342015502,20.477542678699557,27.19180052114768,13.866880342015502
4,u8-dp2-j8,U8/J8,8,256,2048,2,1024,376.211764,495.452553,482.462117,528.119233,0.7797747237427142,1.0269252974322127,1.0946335772099596,switchml,482.462117,1.2824216655808773,22.022527625728586,24.067045023380878,22.022527625728586,28.76385852056253
