timeMs,capacityGbps,swiftGateGbps,swiftGateGbpsCi,swiftGateGbpsLow,swiftGateGbpsHigh,swiftGoodputGbps,swiftGoodputGbpsCi,swiftGoodputGbpsLow,swiftGoodputGbpsHigh,oscarGateGbps,oscarGateGbpsCi,oscarGateGbpsLow,oscarGateGbpsHigh,oscarGoodputGbps,oscarGoodputGbpsCi,oscarGoodputGbpsLow,oscarGoodputGbpsHigh,timelyGateGbps,timelyGateGbpsCi,timelyGateGbpsLow,timelyGateGbpsHigh,timelyGoodputGbps,timelyGoodputGbpsCi,timelyGoodputGbpsLow,timelyGoodputGbpsHigh,dcqcnGateGbps,dcqcnGateGbpsCi,dcqcnGateGbpsLow,dcqcnGateGbpsHigh,dcqcnGoodputGbps,dcqcnGoodputGbpsCi,dcqcnGoodputGbpsLow,dcqcnGoodputGbpsHigh
8.5,200.0,171.709071117,0.0,171.709071117,171.709071117,170.72128,0.0,170.72128,170.72128,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,89.948255,0.091448054,89.856806946,90.039703054,198.57408,0.0,198.57408,198.57408
8.7,200.0,192.661771623,0.0,192.661771623,192.661771623,190.0544,0.0,190.0544,190.0544,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,89.948255,0.091448054,89.856806946,90.039703054,198.57408,0.0,198.57408,198.57408
8.9,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.90176,0.0,198.90176,198.90176,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,89.948255,0.091448054,89.856806946,90.039703054,198.57408,0.0,198.57408,198.57408
9.1,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,199.5015,0.0,199.5015,199.5015,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,89.948255,0.091448054,89.856806946,90.039703054,198.57408,0.0,198.57408,198.57408
9.3,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,199.618098948,0.0,199.618098948,199.618098948,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,73.102405,0.077514383,73.024890617,73.179919383,198.57408,0.0,198.57408,198.57408
9.5,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,72.7577275,0.644422552,72.113304948,73.402150052,198.57408,0.0,198.57408,198.57408
9.7,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,59.42262,0.114928219,59.307691781,59.537548219,117.489664,0.59805168,116.89161232,118.08771568
9.9,200.0,199.290499153,0.0,199.290499153,199.290499153,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,133.035275,0.997292808,132.037982192,134.032567808,127.909888,1.027276361,126.882611639,128.937164361
10.1,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.759725,0.094760575,199.664964425,199.854485575,192.18432,0.435184161,191.749135839,192.619504161
10.3,200.0,197.720739288,0.0,197.720739288,197.720739288,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
10.5,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
10.7,200.0,199.381163579,0.0,199.381163579,199.381163579,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
10.9,200.0,199.569496177,0.0,199.569496177,199.569496177,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.852608,0.056182034,198.796425966,198.908790034
11.1,200.0,198.847818736,0.0,198.847818736,198.847818736,198.90176,0.0,198.90176,198.90176,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
11.3,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
11.5,200.0,199.459007833,0.0,199.459007833,199.459007833,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
11.7,200.0,199.217143109,0.0,199.217143109,199.217143109,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.90176,0.0,198.90176,198.90176,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
11.9,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
