physicalA,jobs,arborMedian,arborMinus,arborPlus,arborStatus,atpMedian,atpMinus,atpPlus,atpStatus,switchmlMedian,switchmlMinus,switchmlPlus,switchmlStatus
152,2,97.865564184,0.036557925,0.084812478,PASS,54.186309671,2.463396113,0.610862646,PASS,93.674150536,62.126744773,0.048077273,PASS
160,2,97.705268982,0.260689256,0.130868386,PASS,55.431750103,2.266212823,0.600340105,PASS,96.018291143,0.179290822,0.186168656,PASS
8,4,42.319368289,0.267255621,0.109197032,PASS,26.406621638,0.276080516,0.452388036,PASS,13.420363662,0.008063299,0.008022618,PASS
16,4,46.424550570,0.844063030,0.316066911,PASS,30.254489716,0.466621897,0.692280397,PASS,25.217365932,0.011300843,0.015057868,PASS
24,4,53.477592730,0.516335560,0.135244690,PASS,32.331795066,0.284114798,0.399296553,PASS,36.834662273,0.270048439,0.099067500,PASS
32,4,60.742997828,0.133721137,0.093784073,PASS,36.477895976,1.013741418,0.117885635,PASS,48.699705645,0.037895272,0.039193217,PASS
40,4,71.563943095,0.627386856,2.333052758,PASS,37.948500762,0.331081882,0.474359824,PASS,58.996738685,0.096085630,0.053014940,PASS
48,4,91.139115976,0.103928944,0.065415108,PASS,39.065229662,0.904485824,0.164277729,PASS,68.524975446,0.054009971,0.201230960,PASS
56,4,91.047151888,0.224875287,0.128337237,PASS,41.262150052,0.429999741,0.155708269,PASS,74.081405926,0.115535950,0.155397557,PASS
64,4,94.787367826,0.197481511,0.231509903,PASS,42.639784065,0.124767627,0.029161369,PASS,81.844507134,0.220992693,0.011043610,PASS
72,4,96.331681724,0.630208066,0.413582250,PASS,42.974667026,0.350760062,0.201994277,PASS,83.125160078,0.276628485,0.392398694,PASS
80,4,96.500505446,0.161909242,0.257835569,PASS,44.641681991,0.587536356,0.368427766,PASS,90.430263860,0.385471823,0.491221209,PASS
88,4,96.718684886,0.147010035,0.158382840,PASS,45.866331315,0.500108547,0.377632117,PASS,88.254687007,0.335593332,0.327932765,PASS
96,4,96.708231543,0.283120502,0.117730547,PASS,46.860357211,0.198064237,0.555406537,PASS,94.115063959,0.402242900,0.205608918,PASS
104,4,96.678190765,1.078965002,0.180962010,PASS,47.603801417,0.781594854,0.205112147,PASS,91.599627371,0.317327728,0.040808580,PASS
112,4,96.965428480,0.408951031,0.151725683,PASS,49.023822632,0.405881105,0.453194929,PASS,96.535729865,0.074496212,0.088956209,PASS
120,4,96.579058173,0.198089105,0.277910305,PASS,48.978762738,0.145635548,0.851422309,PASS,92.562593824,0.110781152,0.165309046,PASS
128,4,96.860900283,0.280539054,0.091832834,PASS,49.978696881,0.153945658,0.516159964,PASS,96.175334142,0.048388849,0.112809166,PASS
136,4,96.546927244,0.763497658,0.243249346,PASS,50.218006221,0.444505811,0.248015447,PASS,92.661964336,61.930205931,0.334741368,PASS
144,4,96.511781403,1.498789278,0.694612224,PASS,50.554696903,0.485178478,0.354435661,PASS,96.635382274,0.126897192,0.274473861,PASS
152,4,96.304897483,1.108689934,0.358497442,PASS,52.231198766,0.957949590,0.367390920,PASS,93.705869457,0.053288595,0.155389128,PASS
160,4,96.756597206,0.111038300,0.381643120,PASS,51.136382855,0.204285215,1.063685012,PASS,95.957624076,0.192988452,0.096313607,PASS
