x,fixed_rr,fixed_rr_err,feedback,feedback_err,label_y,speedup
0,74.184559,0.0,95.182343,0.0,103,1.28x
1,48.712719,0.0,72.784566,0.0,103,1.49x
2,74.307551,12.262,81.143929,14.079,103,1.09x
