binStartMs,binEndMs,timeMs,schedules,arbor,arborMin,arborMax,atp,atpMin,atpMax,switchml,switchmlMin,switchmlMax
-100.0,-50.0,-75.0,3,71.995115,61.026234,89.456869,72.547342,72.407650,72.768900,58.936100,58.936100,58.936100
-50.0,0.0,-25.0,3,69.603615,61.512160,77.311612,72.280667,72.209400,72.356650,58.936100,58.936100,58.936100
0.0,50.0,25.0,3,80.063371,70.210056,85.317136,77.227108,77.051600,77.339000,58.936100,58.936100,58.936100
50.0,100.0,75.0,3,99.454561,99.454561,99.454561,78.589650,78.170225,78.899075,58.936100,58.936100,58.936100
100.0,150.0,125.0,3,99.454561,99.454561,99.454561,78.821192,78.724750,78.877700,58.936100,58.936100,58.936100
150.0,200.0,175.0,3,99.454561,99.454561,99.454561,78.842900,78.645275,79.054150,58.936100,58.936100,58.936100
200.0,250.0,225.0,3,99.454561,99.454561,99.454561,78.684892,78.605750,78.756000,58.936100,58.936100,58.936100
250.0,300.0,275.0,3,93.624157,89.619894,99.454561,73.242050,72.500650,73.713450,58.936100,58.936100,58.936100
300.0,350.0,325.0,3,67.727159,49.988819,82.508703,72.541067,72.268625,72.783550,58.936100,58.936100,58.936100
