system,profile,role_pollers,total_pollers,reaches_90_gbps,logical_gbps_median,logical_gbps_min,logical_gbps_max,logical_gbps_mean,logical_gbps_stdev,logical_gbps_n
Arbor,1,1/rank,4,0,46.587648380349364,46.53240777737427,46.61145628764096,46.574707800874066,0.036153204373266634,5
Arbor,2,2/rank,8,1,96.66612398184026,96.39490317865095,96.98533274338102,96.71129292067138,0.22482229277302382,5
Arbor,4,4/rank,16,1,97.50129134009048,97.4751659981809,97.52383786848897,97.49622833523749,0.02059822832652866,5
Arbor,8,8/rank,32,1,97.4706391235918,97.42490907181205,97.50558553478481,97.46555436229825,0.03104782172523616,5
ATP,ps1-w1,PS 1; worker 1/rank,4,0,36.390626448857866,36.36624753012452,36.41076552882228,36.38643095787289,0.01811102282394864,5
ATP,ps2-w2,PS 2; worker 2/rank,8,0,57.76711307602388,47.87783418871256,58.31250308875331,55.90019984183676,4.491829305991381,5
ATP,ps4-w4,PS 4; worker 4/rank,16,0,87.75804732097059,84.0234320540859,88.58070512345627,87.15817906960932,1.8135657545923336,5
ATP,ps8-w4,PS 8; worker 4/rank,20,1,91.91512464941441,90.45744596606002,92.43221849688013,91.54354415953085,0.8173473096252992,5
ATP,ps8-w8,PS 8; worker 8/rank,32,1,94.96102866991463,93.70161722150664,95.35016434541825,94.75837799670344,0.6667849894904556,5
SwitchML,p1,1/rank,4,0,29.986707276680768,29.965584985697337,30.02188780745583,29.988647699824472,0.023050369316945474,5
SwitchML,p2,2/rank,8,0,47.80450752634555,47.6835001176831,48.05891201403622,47.82079132207591,0.15001543651558247,5
SwitchML,p4,4/rank,16,0,56.73066889388963,52.375166601856726,57.75403194791807,56.17382678951198,2.2159307007574074,5
SwitchML,p8,8/rank,32,1,96.62745120625273,96.38771757532886,96.69433209755762,96.59130669378388,0.11856082583302743,5
