x,arbor,atp,switchml,p2p
0,7.646814,14.920708,10.909272,38.353351
1,15.059343,21.245344,16.909272,45.517475
2,14.405493,21.215141,16.907992,45.656227
3,26.925380,33.245344,28.909272,58.071995
4,26.894696,32.717812,28.909100,61.242409
