x,topology,nccl,nccl_error,nccl_util_pct,nccl_util_error_pct,nccl_launch_ref_pct,nccl_launch_ref_error_pct,atp,atp_error,atp_util_pct,atp_util_error_pct,atp_launch_ref_pct,atp_launch_ref_error_pct,switchml,switchml_error,switchml_util_pct,switchml_util_error_pct,switchml_launch_ref_pct,switchml_launch_ref_error_pct,arbor,arbor_error,arbor_util_pct,arbor_util_error_pct,arbor_launch_ref_pct,arbor_launch_ref_error_pct
0,one,103.725343,0.0,51.862671,0.0,51.862671,0.0,198.309774,0.0,99.154887,0.0,99.154887,0.0,198.431813,0.0,99.215906,0.0,99.215906,0.0,196.246087,0.0,98.123044,0.0,98.123044,0.0
1,two,102.829863,0.0,51.414932,0.0,51.414932,0.0,97.939433,0.024747,48.969717,0.012373,48.969717,0.012373,198.309774,0.0,99.154887,0.0,99.154887,0.0,197.169266,0.0,98.584633,0.0,98.584633,0.0
2,three,101.949529,0.0,50.974765,0.0,50.974765,0.0,94.136137,0.143351,47.068069,0.071676,47.068069,0.071676,198.187884,0.0,99.093942,0.0,99.093942,0.0,195.826618,0.0,97.913309,0.0,97.913309,0.0
